GPU Name,Passmark mark,GPU Value,MSRP
128 DDR Radeon 9700 TX w/TV-Out,44,1967,NA,NA
128 DDR Radeon 9800 Pro,62,1908,NA,NA
128MB DDR Radeon 9800 Pro,66,1897,NA,NA
128MB RADEON X600 SE,49,1947,0.87,$56.18*
15FF,8229,167,NA,NA
256MB DDR Radeon 9800 XT,37,1994,NA,NA
256MB RADEON X600,67,1891,0.42,$160.49*
3DP Edition,826,977,0.71,"$1,159.99*"
64MB DDR GeForce3 Ti 200,5,2145,NA,NA
64MB GeForce2 MX with TV Out,2,2242,NA,NA
7900 MOD - Radeon HD 6520G,610,1173,NA,NA
7900 MOD - Radeon HD 6550D,892,922,NA,NA
9xx Soldiers sans frontiers Sigma 2,21,2073,NA,NA
A10-8700P,513,1284,NA,NA
A10G,18723,29,NA,NA
A16,5797,-1,NA,NA
A40,1625,-1,NA,NA
A6 Micro-6500T Quad-Core APU with RadeonR4,220,1558,NA,NA
ABIT Siluro T400,3,2197,NA,NA
ALL-IN-WONDER 9000,4,2163,NA,NA
ALL-IN-WONDER 9800,23,2067,NA,NA
ALL-IN-WONDER RADEON 8500DV,5,2149,NA,NA
All-in-Wonder X1800XL,30,2036,NA,NA
All-in-Wonder X1900,127,1696,NA,NA
ALL-IN-WONDER X800 GT,84,1829,NA,NA
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3,2222,NA,NA
ASUS A7000,9,2109,NA,NA
ASUS AGP-V3800PRO v31.40H,4,2183,NA,NA
ASUS EAH4870x2,496,1303,NA,NA
Asus GTX 650 FML II EC-EGPU,720,1066,NA,NA
ASUS V9520-X V62.11,7,2120,NA,NA
B8DKMDAP,4557,273,NA,NA
Barco MXRT 1450,205,1579,NA,NA
Barco MXRT 2600,900,918,4.52,$199.00*
Barco MXRT 5400,1161,769,5.72,$203.00*
Barco MXRT 5450,1079,805,5.40,$199.99*
Barco MXRT 5500,2701,408,9.04,$299.00*
Barco MXRT 5600,2465,451,3.50,$704.00*
Barco MXRT 7100,180,1610,NA,NA
Barco MXRT 7400,900,917,9.10,$99.00*
Barco MXRT 7500,4319,287,14.45,$299.00*
Barco MXRT 7600,4943,259,8.20,$602.59*
BASICDISPLAY,69,1880,NA,NA
CARRIZO 9874,246,-1,NA,NA
Citrix Indirect Display Adapter,4446,281,NA,NA
CONNECT 3D RADEON X300,36,1999,NA,NA
Custom GPU 0405,2606,426,NA,NA
Dell 8100,2,2248,0.00,$999.11*
Dell 8200,4,2185,NA,NA
Diamond X1300-PCIE 256MB,70,1878,NA,NA
EAH5450,134,1681,1.22,$109.99*
EG PARK,141,-1,NA,NA
EIZO Quadro MED-XN51LP,4946,258,NA,NA
Embedded Radeon E9173,1798,594,NA,NA
Extreme AX850 PRO,120,1716,NA,NA
Familia Intel Q33 Express Chipset,10,2106,NA,NA
Famille de jeu de puces Express Intel 946GZ,7,2123,NA,NA
FireGL T2-128,30,2033,NA,NA
FireGL V3100,52,1930,NA,NA
FireGL V3200,84,1826,NA,NA
FireGL V3300,70,1877,NA,NA
FireGL V3350,68,1885,NA,NA
